CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,WebsiteClickRate,TimeSpentOnSite,SocialMediaEngagement,AdClickHistory,GeneratedReview,CustomerSentimentScore,PersonaTag,Churn,llm_sentiment
6cf4167,Female,Los Angeles,CA,Bronze,4,190.2,Books,2023-03-01,0.018,3.5,Low,Not Clicked,Customer service could be better.,0.28,Dissatisfied,1,2
39eb564,Other,Chicago,IL,Platinum,50,4950.8,Beauty,2023-10-27,0.12,29.5,High,Clicked,"Great experience, love this store!",0.99,Loyal,0,5
3ef0963,Male,Houston,TX,Silver,7,450.1,Sports,2023-04-10,0.029,6.2,Medium,Sometimes,"Okay, but nothing special.",0.48,Inactive,1,3
584cf60,Female,Phoenix,AZ,Gold,38,3500.0,Groceries,2023-10-21,0.098,24.8,High,Clicked,Will definitely buy again.,0.94,Regular Buyer,0,4
ffb7819,Male,Miami,FL,Bronze,1,35.0,Toys,2021-12-01,0.008,0.8,Low,Not Clicked,Didn't find what I was looking for.,0.05,One-Time Buyer,1,2
7e102be,Female,Seattle,WA,Silver,15,1050.4,Clothing,2023-09-30,0.07,16.8,Medium,Clicked,Very happy with my purchases.,0.9,Engaged,0,4
d1b187f,Other,Austin,TX,Bronze,3,120.5,Electronics,2022-05-20,0.015,2.9,Low,Not Clicked,"Had some issues, not fully satisfied.",0.38,Dissatisfied,1,2
fdc9ea3,Male,Boston,MA,Platinum,25,2550.6,Home Goods,2023-10-15,0.108,26.1,High,Sometimes,Reliable and user-friendly website.,0.96,Loyal,0,4
fe3dd6f,Female,New York,NY,Silver,6,380.9,Books,2023-02-18,0.021,4.5,Low,Not Clicked,"Product was alright, but delivery was slow.",0.3,Inactive,1,3
bd05135,Male,Denver,CO,Gold,20,1700.0,Beauty,2023-10-01,0.085,19.5,High,Clicked,Excellent service and products.,0.92,Regular Buyer,0,5
b29cb16,Other,Los Angeles,CA,Bronze,2,75.8,Sports,2021-10-05,0.009,1.2,Low,Not Clicked,Didn't find what I was looking for.,0.1,One-Time Buyer,1,2
34c80c8,Female,Chicago,IL,Platinum,30,3100.2,Groceries,2023-10-24,0.118,27.3,High,Clicked,Will definitely buy again.,0.97,Loyal,0,4
1d3db6d,Male,Houston,TX,Silver,8,520.7,Toys,2023-03-25,0.031,5.8,Medium,Sometimes,"Okay, but nothing special.",0.45,Inactive,1,3
c185173,Female,Phoenix,AZ,Gold,17,1180.9,Clothing,2023-09-10,0.075,17.6,Medium,Clicked,Very happy with my purchases.,0.89,Engaged,0,4
84a24e4,Other,Miami,FL,Bronze,1,20.0,Electronics,2022-03-12,0.01,0.5,Low,Not Clicked,Customer service could be better.,0.2,Dissatisfied,1,2
2d46fcf,Male,Seattle,WA,Platinum,45,4100.5,Home Goods,2023-10-27,0.125,30.0,High,Clicked,"Great experience, love this store!",1.0,Loyal,0,5
2190965,Female,Austin,TX,Bronze,4,155.3,Books,2022-07-01,0.028,6.0,Low,Not Clicked,"Had some issues, not fully satisfied.",0.42,Inactive,1,2
f7ed15d,Male,Boston,MA,Silver,10,650.4,Beauty,2023-08-20,0.06,13.5,Medium,Sometimes,Reliable and user-friendly website.,0.87,Regular Buyer,0,4
76a6c1e,Other,New York,NY,Gold,6,400.8,Sports,2022-09-01,0.035,7.1,Medium,Clicked,"Product was alright, but delivery was slow.",0.5,Inactive,1,3
f996cfd,45,Female,New York,Gold,25,1500.5,Electronics,2023-10-15,0.65,20.5,High,True,Excellent service and products! Very satisfied.,0.9,Loyal,0,5
fb80e3b,32,Male,Los Angeles,Silver,10,350.75,Clothing,2023-11-20,0.4,15.2,Medium,False,"Good variety, decent quality.",0.6,Casual Shopper,0,4
dcb8b3c,58,Female,Chicago,Platinum,40,5500.0,Home Goods,2023-11-01,0.78,30.1,High,True,Absolutely love this store! Top-notch.,1.0,Loyal,0,5
f21b74b,28,Male,Houston,Bronze,5,120.99,Books,2023-09-10,0.25,8.5,Low,False,"Product was okay, delivery was slow.",0.2,Bargain Hunter,1,3
8d94531,50,Female,Phoenix,Silver,18,850.2,Beauty,2023-10-28,0.55,18.0,Medium,True,"Happy with my purchases, good value.",0.7,Engaged Buyer,0,4
9db0ab9,65,Male,Philadelphia,Gold,30,2100.3,Sports,2023-11-25,0.7,25.8,High,True,Reliable source for my hobby needs.,0.8,Loyal,0,4
841c12b,22,Female,San Antonio,Bronze,3,75.0,Toys,2022-05-18,0.15,5.0,Low,False,Didn't find what I was looking for.,-0.3,Casual Shopper,1,2
5b9258b,41,Male,San Diego,Silver,12,480.6,Electronics,2023-11-10,0.48,16.5,Medium,False,Items arrived quickly and work well.,0.7,Engaged Buyer,0,4
07a0a4b,35,Female,Dallas,Bronze,7,150.0,Clothing,2022-08-01,0.1,3.2,Low,True,Poor customer service experience.,-0.8,Dissatisfied Customer,1,2
887d11a,53,Male,San Jose,Platinum,55,7800.0,Electronics,2023-11-28,0.85,35.5,High,True,Always find the latest gadgets here.,1.0,Loyal,0,4
36e662a,29,Female,Austin,Bronze,4,90.5,Beauty,2023-06-15,0.2,6.8,Low,False,Prices are a bit high.,0.1,Bargain Hunter,1,2
9924ac4,48,Male,Jacksonville,Gold,28,1800.7,Home Goods,2023-11-18,0.68,22.3,High,False,Quality products that last.,0.9,Loyal,0,4
4ca2720,38,Female,Indianapolis,Silver,9,310.45,Books,2023-11-05,0.52,14.0,Medium,True,Good selection of titles.,0.6,Casual Shopper,0,4
aaa4ee1,60,Male,Columbus,Bronze,2,45.0,Sports,2022-01-20,0.05,1.5,Low,False,Website was difficult to navigate.,-0.6,Lapsed Customer,1,2
4135c56,25,Female,Fort Worth,Silver,15,600.0,Clothing,2023-11-22,0.6,19.8,Medium,False,Trendy clothes at fair prices.,0.7,Engaged Buyer,0,4
4f421ea,55,Male,Charlotte,Platinum,35,4500.0,Electronics,2023-11-29,0.8,28.0,High,True,My go-to for all things tech.,0.9,Loyal,0,5
351808d,31,Female,San Francisco,Bronze,6,110.25,Beauty,2023-03-01,0.18,4.5,Low,True,Product didn't live up to the hype.,-0.4,Dissatisfied Customer,1,2
c625106,43,Male,Seattle,Gold,20,1200.8,Sports,2023-11-14,0.75,24.0,High,False,Great gear for outdoor activities.,0.8,Loyal,0,4
c02c724,27,Female,Denver,Silver,8,250.0,Home Goods,2023-11-08,0.42,12.5,Medium,True,Found some nice items for my apartment.,0.5,Casual Shopper,0,4
bb2dc5f,62,Male,Washington D.C.,Bronze,1,20.0,Books,2021-11-11,0.03,0.8,Low,False,Lost interest after first visit.,-0.1,Lapsed Customer,1,2
5a20e73,39,Female,Boston,Gold,22,1650.0,Clothing,2023-11-27,0.72,21.5,High,True,"Fashionable clothes, always updated.",0.9,Loyal,0,4
763c749,34,Male,El Paso,Bronze,3,60.0,Electronics,2022-06-01,0.12,3.0,Low,False,Had issues with my order.,-0.5,Dissatisfied Customer,1,2
9a5edbb,51,Female,Detroit,Silver,14,550.3,Beauty,2023-11-19,0.58,17.0,Medium,False,Regularly find good deals here.,0.7,Engaged Buyer,0,4
f3a9089,47,Male,Nashville,Platinum,38,5200.0,Home Goods,2023-11-30,0.88,32.0,High,True,Premium quality items for my home.,1.0,Loyal,0,5
bf5ea37,26,Female,Portland,Bronze,5,100.0,Sports,2023-05-10,0.16,4.0,Low,True,Didn't have the specific item I wanted.,-0.2,Casual Shopper,1,2
3ca0eee,59,Male,Las Vegas,Gold,26,1750.9,Electronics,2023-11-16,0.67,23.5,High,False,Satisfied with the performance of products.,0.8,Loyal,0,4
ebd1a45,33,Female,Oklahoma City,Silver,11,380.0,Books,2023-11-03,0.5,13.8,Medium,True,Found some rare editions.,0.6,Engaged Buyer,0,4
901dfe2,68,Male,Memphis,Bronze,2,35.0,Clothing,2021-10-05,0.02,0.5,Low,False,Completely stopped using the service.,-0.7,Lapsed Customer,1,1
59e6338,49,Female,Louisville,Gold,29,1900.5,Beauty,2023-11-21,0.71,26.0,High,False,Always find my favorite products in stock.,0.9,Loyal,0,5
b907c91,37,Male,Milwaukee,Bronze,4,85.0,Sports,2022-09-15,0.14,3.5,Low,False,The return process was complicated.,-0.9,Dissatisfied Customer,1,2
5cdb061,45,Male,New York,Gold,85,7250.5,Electronics,2023-10-20,0.25,15.2,High,Frequent,"Excellent products and service, always find what I need.",0.9,Loyal Customer,0,5
61d5fbd,28,Female,Los Angeles,Silver,12,580.75,Apparel,2023-11-15,0.18,8.5,Medium,Some,"Good selection, website is easy to navigate.",0.7,Engaged Shopper,0,4
1c3fdf9,60,Other,Chicago,Bronze,3,150.0,Home Goods,2022-05-10,0.05,2.1,Low,,Didn't find much I liked.,-0.4,Inactive User,1,2
2823fe9,35,Female,Houston,Platinum,150,15000.0,Beauty,2023-12-01,0.4,25.8,High,Frequent,Absolutely love the premium service and exclusive offers!,1.0,VIP Customer,0,5
85d6abf,52,Male,Phoenix,Gold,60,5800.2,Books,2023-09-01,0.22,12.0,Medium,Frequent,Reliable store with a great variety of books.,0.8,Frequent Buyer,0,5
32bae98,22,Female,Philadelphia,Bronze,2,80.0,Sports,2022-08-22,0.03,1.5,Low,,"Items were okay, but nothing special.",-0.2,Bargain Hunter,1,3
53bfa90,40,Other,San Antonio,Silver,25,1200.5,Electronics,2023-10-05,0.15,7.3,Medium,Some,"Prices are competitive, delivery was quick.",0.6,Value Seeker,0,4
e32b3d4,30,Male,San Diego,Bronze,1,50.0,Apparel,2023-01-18,0.08,3.0,Low,,First purchase was simple enough.,0.3,New Customer,1,4
05d4d7e,58,Female,Dallas,Gold,75,6500.0,Home Goods,2023-11-28,0.28,18.0,High,Frequent,Consistently satisfied with my orders.,0.95,Loyal Customer,0,5
01a733c,48,Male,San Jose,Platinum,180,18500.0,Electronics,2023-12-10,0.45,30.1,High,Frequent,Best tech deals and amazing support!,1.0,VIP Customer,0,5
6081b85,25,Other,Austin,Bronze,4,200.0,Beauty,2022-07-12,0.04,1.8,Low,,Experience was forgettable.,-0.3,Inactive User,1,2
6341a7c,33,Female,Jacksonville,Silver,18,900.0,Books,2023-09-18,0.17,6.5,Medium,Some,"Decent selection, fair prices.",0.5,Casual Buyer,0,3
c2a0241,65,Male,Fort Worth,Bronze,0,0.0,,2021-11-01,0.01,0.5,Low,,Never actually bought anything after signing up.,-0.1,Zombie Account,1,2
49629b2,38,Female,Columbus,Gold,55,4800.0,Sports,2023-10-30,0.2,10.5,Medium,Frequent,Good quality gear for various sports.,0.75,Active Hobbyist,0,4
290d1f1,50,Other,Charlotte,Silver,30,1500.0,Electronics,2022-04-01,0.06,3.2,Low,,Had an issue with my last order and it wasn't resolved well.,-0.6,Dissatisfied Customer,1,1
6e9d0a7,29,Male,San Francisco,Platinum,120,12000.0,Apparel,2023-12-05,0.38,22.0,High,Frequent,Always find unique and stylish clothes here.,0.98,Fashion Enthusiast,0,5
94f4a9e,42,Female,Indianapolis,Bronze,5,250.0,Home Goods,2022-09-15,0.05,2.5,Low,,"Products were average, nothing special to keep me coming back.",-0.2,Explorer,1,3
cb45c7b,31,Male,Seattle,Gold,95,8500.0,Beauty,2023-11-08,0.3,16.5,High,Frequent,My go-to for all beauty needs. Excellent.,0.93,Brand Advocate,0,5
cd7743b,62,Female,Denver,Silver,10,450.0,Books,2023-08-25,0.12,5.0,Medium,Some,Found a few interesting titles.,0.4,Infrequent Reader,0,3
3b16681,26,Other,Washington D.C.,Bronze,3,120.0,Sports,2023-03-20,0.07,2.8,Low,,"Website was slow, checkout was clunky.",-0.5,Frustrated User,1,1
3579afd,47,Male,Boston,Platinum,200,22000.0,Electronics,2023-12-15,0.5,35.0,High,Frequent,"Top-tier service and products, worth every penny.",1.0,Ultimate Fan,0,5
7afe06c,39,Female,El Paso,Silver,15,700.0,Apparel,2022-06-01,0.09,4.0,Low,Some,"Bought a few things, but haven't returned.",-0.1,One-Time Buyer,1,3
6a3fbb8,55,Male,Detroit,Gold,70,6000.0,Home Goods,2023-11-10,0.26,14.0,High,Frequent,Quality items that last.,0.88,Quality Focused,0,4
1445671,23,Other,Nashville,Bronze,1,40.0,Beauty,2022-10-05,0.02,1.0,Low,,Signed up but never got engaged with the site.,-0.05,Unengaged Lead,1,2
a7c4891,36,Female,Portland,Silver,28,1400.0,Sports,2023-10-12,0.19,9.0,Medium,Some,Happy with my purchases so far.,0.65,Active Customer,0,4
06f5416,51,Male,Memphis,Bronze,4,180.0,Electronics,2022-11-20,0.04,2.0,Low,,"Item arrived broken, customer service was unhelpful.",-0.8,Highly Dissatisfied,1,1
353defc,44,Female,Oklahoma City,Gold,80,7000.0,Apparel,2023-12-08,0.27,15.8,High,Frequent,My favorite place for clothes!,0.92,Loyal Shopper,0,5
1d8ab49,34,Male,Las Vegas,Silver,20,1000.0,Books,2023-09-22,0.16,7.8,Medium,Some,"Found a few interesting books, delivery was okay.",0.55,Book Lover,0,3
c0707ec,59,Other,Louisville,Bronze,0,0.0,,2021-08-01,0.0,0.2,Low,,"Account seems inactive, not sure why I kept it.",-0.1,Dormant Account,1,2
2fd4b93,27,Female,Baltimore,Platinum,100,10500.0,Beauty,2023-12-18,0.42,28.5,High,Frequent,Fantastic service and top quality products!,0.99,Beauty Guru,0,5
228dd3e,45,Male,New York,Gold,25,750.5,Electronics,2023-10-20,0.35,15.2,High,Yes,Very happy with the recent electronics purchase! Site was easy to navigate.,0.85,Loyal,0,5
062e5f3,32,Female,Los Angeles,Silver,8,120.75,Clothing,2024-01-15,0.1,4.5,Medium,No,"Clothes were okay, nothing special. Shipping was slow.",0.15,Bargain Hunter,0,2
579bfba,58,Other,Chicago,Bronze,2,35.0,Books,2023-05-10,0.03,1.1,Low,No,Didn't find much I liked.,-0.4,Disengaged,1,2
a218b01,28,Female,Houston,Platinum,45,2500.0,Home Goods,2024-02-28,0.55,22.8,High,Yes,Excellent quality products and fantastic customer service! Will definitely shop again.,0.95,Loyal,0,5
74271ea,50,Male,Phoenix,Gold,15,500.2,Groceries,2023-11-01,0.18,7.3,Medium,No,"Groceries were fresh, standard service.",0.5,Regular Shopper,0,3
9c938db,65,Female,Miami,Silver,3,55.5,Beauty,2023-03-20,0.05,2.5,Low,No,Product wasn't what I expected.,-0.25,At Risk,1,2
f893df3,22,Male,New York,Bronze,1,15.0,Clothing,2024-02-01,0.12,6.0,Medium,Yes,First purchase was smooth.,0.6,New Customer,0,4
a4d3100,38,Other,Los Angeles,Platinum,60,3500.0,Electronics,2024-03-05,0.6,30.1,High,Yes,Consistently great service and top-notch electronics.,0.98,Loyal,0,5
d5c77ff,49,Female,Chicago,Gold,10,300.0,Books,2023-07-18,0.07,3.5,Low,No,"Used to buy more, but selection seems limited now.",-0.1,At Risk,1,2
26f37e4,30,Male,Houston,Silver,5,80.5,Clothing,2023-04-25,0.08,4.0,Low,No,Didn't find much to buy recently.,-0.05,Disengaged,1,2
29b77c1,55,Female,Phoenix,Bronze,1,20.0,Home Goods,2023-01-10,0.02,0.9,Low,No,Never really got into shopping here.,-0.3,Churned,1,2
83c1c9b,41,Male,Miami,Platinum,30,1500.0,Beauty,2024-01-29,0.4,18.0,High,Yes,Love the premium beauty products!,0.9,Loyal,0,5
3ce94ce,25,Other,New York,Silver,6,90.0,Groceries,2023-12-10,0.15,5.5,Medium,Yes,Decent prices on groceries.,0.45,Regular Shopper,0,3
a0ee60c,62,Female,Los Angeles,Gold,18,650.0,Electronics,2023-09-01,0.25,10.5,Medium,No,Satisfied with most purchases.,0.7,Regular Shopper,0,4
3397686,35,Male,Chicago,Bronze,2,40.0,Clothing,2023-06-05,0.04,1.5,Low,No,Didn't like the fit of the clothes.,-0.5,Churned,1,2
9662929,48,Female,Houston,Platinum,55,3000.0,Books,2024-03-10,0.65,25.0,High,Yes,"Amazing selection of books, always find something!",0.99,Loyal,0,5
e7c7570,29,Male,Phoenix,Silver,7,110.0,Home Goods,2024-02-15,0.11,4.8,Medium,No,Items were okay quality for the price.,0.3,Bargain Hunter,0,3
d9dbd5b,70,Other,Miami,Bronze,1,10.0,Groceries,2022-11-01,0.01,0.5,Low,No,Found it difficult to use the site.,-0.6,Churned,1,2
dec2103,33,Female,New York,Gold,20,700.0,Beauty,2024-01-05,0.3,14.0,High,Yes,Reliable source for my beauty needs.,0.8,Loyal,0,4
683bc7b,53,Male,Los Angeles,Silver,4,60.0,Electronics,2023-08-20,0.06,2.0,Low,No,Item I wanted was out of stock.,-0.15,At Risk,1,2
b9be1ca,27,Female,Chicago,Bronze,1,25.0,Books,2023-02-18,0.03,1.0,Low,No,Site was confusing.,-0.45,Churned,1,2
88214c3,40,Other,Houston,Platinum,40,2200.0,Clothing,2024-03-15,0.5,20.0,High,Yes,Fashion is always on point here!,0.92,Loyal,0,5
434ded5,60,Male,Phoenix,Gold,12,400.0,Home Goods,2023-10-05,0.2,8.5,Medium,Yes,Good range of home goods.,0.65,Regular Shopper,0,4
607df46,36,Female,Miami,Silver,3,50.0,Groceries,2023-07-01,0.09,3.0,Low,No,Prices went up.,-0.2,At Risk,1,2
a355a73,51,Male,New York,Bronze,1,18.0,Beauty,2023-04-12,0.02,0.8,Low,No,Product caused irritation.,-0.55,Churned,1,1
6ab4e0d,24,Female,Los Angeles,Platinum,8,150.0,Electronics,2024-02-20,0.48,19.0,High,Yes,Got a great deal on a new gadget!,0.88,Impulsive Buyer,0,4
5d1a179,47,Other,Chicago,Gold,16,550.0,Books,2024-01-25,0.28,12.0,Medium,No,Always find interesting reads.,0.75,Regular Shopper,0,4
8066f10,68,Male,Houston,Bronze,2,30.0,Clothing,2023-03-01,0.04,1.2,Low,No,Sizes weren't accurate.,-0.35,Churned,1,2
6de0042,31,Female,Phoenix,Silver,5,75.0,Home Goods,2023-05-15,0.08,3.8,Low,Yes,"Okay items, but could find better deals elsewhere.",-0.08,Bargain Hunter,1,2
e026b26,43,Male,Miami,Platinum,22,900.0,Groceries,2024-03-01,0.42,16.5,High,Yes,My go-to for premium groceries.,0.94,Loyal,0,5
c3a5cb7,45,Female,New York,Gold,25,1500.5,Electronics,2023-10-20,0.65,12.3,High,Frequent clicks,Great service and fast delivery!,0.92,Loyal,0,5
70433f8,32,Male,London,Silver,8,350.2,Clothing,2023-11-05,0.45,8.1,Medium,Occasional clicks,"Product was okay, but took a while to arrive.",0.65,Bargain Hunter,0,3
5515bab,58,Other,Tokyo,Platinum,40,5500.75,Home Goods,2024-01-15,0.78,20.5,Very High,Frequent clicks,Absolutely love the quality and selection!,0.98,Loyal,0,5
885cb56,28,Female,Sydney,Bronze,3,85.0,Beauty,2022-05-10,0.3,4.5,Low,Rarely clicks,"Didn't find what I was looking for, site was slow.",0.2,Inactive,1,2
5c5a3f5,51,Male,Rio de Janeiro,Gold,18,980.6,Sports,2023-09-01,0.55,10.7,High,Frequent clicks,"Reliable store, good prices.",0.85,Engaged Shopper,0,4
6027963,36,Female,Mumbai,Silver,12,620.9,Books,2023-12-18,0.5,9.2,Medium,Occasional clicks,"Decent selection, easy checkout.",0.7,Engaged Shopper,0,4
81cd120,65,Male,Paris,Bronze,1,45.5,Electronics,2021-08-22,0.25,3.1,Low,Rarely clicks,"Purchased one item, haven't been back.",0.55,One-Time Buyer,1,3
d48086a,22,Other,Berlin,Silver,6,210.3,Clothing,2024-02-01,0.6,11.5,High,Frequent clicks,"Cool products, always checking for new arrivals.",0.88,Impulsive Buyer,0,4
51b3b32,49,Female,Toronto,Platinum,35,3200.0,Jewelry,2024-01-28,0.85,25.0,Very High,Frequent clicks,Exceptional customer service and quality.,0.99,Loyal,0,5
21c13fb,31,Male,Moscow,Bronze,2,65.0,Home Goods,2022-01-05,0.28,5.0,Low,Rarely clicks,"Site was confusing, didn't buy again.",0.3,Inactive,1,2
d70fb8d,40,Female,Shanghai,Gold,20,1250.0,Beauty,2023-10-01,0.7,15.0,High,Frequent clicks,Love the selection and deals!,0.91,Engaged Shopper,0,5
7a9956e,27,Male,Mexico City,Silver,5,180.0,Sports,2022-07-19,0.35,6.8,Medium,Occasional clicks,"Found one item I needed, but not much else.",0.6,One-Time Buyer,1,3
ebbf9fc,55,Other,Sao Paulo,Bronze,0,0.0,,,0.1,1.5,Low,Rarely clicks,Never made a purchase after browsing.,0.1,Prospect,1,3
5bf0ae8,38,Female,Cairo,Gold,15,890.4,Books,2023-11-25,0.62,13.5,High,Frequent clicks,Good store for finding specific titles.,0.89,Engaged Shopper,0,4
2319085,24,Male,Jakarta,Silver,7,280.5,Electronics,2023-12-08,0.58,10.1,Medium,Occasional clicks,Products seem decent for the price.,0.75,Bargain Hunter,0,3
f69360f,61,Female,Seoul,Platinum,50,7800.9,Luxury Goods,2024-02-10,0.9,30.0,Very High,Frequent clicks,My go-to store for high-end items.,0.97,Loyal,0,5
a5e255f,33,Male,Istanbul,Bronze,4,110.0,Clothing,2022-09-01,0.32,5.2,Low,Rarely clicks,Didn't like the fit of the items.,0.4,Dissatisfied,1,2
318ffac,47,Other,Buenos Aires,Gold,22,1800.7,Home Goods,2023-10-05,0.68,14.0,High,Frequent clicks,Always find what I need for home projects.,0.9,Engaged Shopper,0,5
ad5be9b,29,Female,Lagos,Silver,9,400.1,Beauty,2023-11-12,0.52,9.8,Medium,Occasional clicks,"Some nice products, wish shipping was faster.",0.68,Engaged Shopper,0,3
3e31e77,53,Male,Kolkata,Bronze,2,75.0,Sports,2021-11-11,0.29,4.0,Low,Rarely clicks,Lost interest after the first purchase.,0.35,Inactive,1,2
3168a46,35,Female,Madrid,Gold,18,1100.0,Electronics,2024-01-03,0.66,13.0,High,Frequent clicks,"Reliable tech store, good customer support.",0.93,Loyal,0,4
f1b7ecb,41,Male,Rome,Silver,6,250.0,Books,2022-03-20,0.38,7.5,Medium,Occasional clicks,"Read the books, no reason to return recently.",0.58,Inactive,1,3
08dd367,68,Other,Osaka,Platinum,45,6200.0,Collectibles,2024-02-15,0.88,28.0,Very High,Frequent clicks,Fantastic range for collectors.,0.96,Loyal,0,5
b3b5fcd,26,Female,Cairo,Bronze,3,90.0,Clothing,2022-06-30,0.31,4.8,Low,Rarely clicks,"Sizes weren't accurate, returned items.",0.25,Dissatisfied,1,2
6efbee3,50,Male,Bangkok,Gold,20,1350.0,Home Goods,2023-12-01,0.64,12.5,High,Frequent clicks,Good value on home essentials.,0.87,Engaged Shopper,0,4
28edd56,39,Female,Athens,Silver,7,300.0,Beauty,2022-08-15,0.4,6.0,Low,Rarely clicks,"Products were average, found better elsewhere.",0.45,Price Sensitive,1,2
8651933,44,Male,Lisbon,Bronze,1,50.0,Sports,2021-09-10,0.27,3.5,Low,Rarely clicks,"Made one purchase, then forgot about the site.",0.5,One-Time Buyer,1,3
bdbd144,30,Other,Dublin,Silver,10,450.0,Electronics,2024-01-22,0.59,11.0,Medium,Occasional clicks,Satisfied with purchases so far.,0.78,Engaged Shopper,0,4
8c5d010,57,Female,Vienna,Platinum,38,4100.0,Jewelry,2024-02-05,0.82,22.0,Very High,Frequent clicks,Excellent quality and unique designs.,0.95,Loyal,0,5
9aa4df8,23,Male,Prague,Bronze,2,80.0,Books,2022-04-18,0.33,5.5,Low,Rarely clicks,Didn't find the specific books I wanted.,0.38,Inactive,1,2
d2c622b,45,Female,New York,Gold,55,1520.75,Clothing,2023-10-20,0.08,15.2,85,Yes,Love the quality and fast shipping. Highly recommend!,0.95,Loyal,0,5
1d9359d,60,Other,Tokyo,Platinum,180,7500.0,Home Goods,2024-02-28,0.12,25.5,98,Yes,Exceptional service and products. Worth every penny!,0.99,Loyal,0,5
2598d69,22,Female,Paris,Bronze,3,45.99,Beauty,2023-05-10,0.02,3.1,15,No,Didn't find what I was looking for. Site was confusing.,-0.4,Disengaged,1,2
1d46b24,51,Male,Sydney,Gold,78,2100.3,Sports,2024-03-05,0.09,18.7,70,Yes,Great gear and competitive prices.,0.85,Loyal,0,4
ba5304f,48,Male,Toronto,Bronze,0,0.0,,2022-11-01,0.01,0.5,5,No,Never completed a purchase.,-0.1,Disengaged,1,3
adebd27,31,Female,Mumbai,Gold,40,1200.5,Clothing,2024-03-10,0.1,16.8,80,Yes,My go-to store for fashion.,0.9,Loyal,0,5
1ee7a9e,27,Other,London,Bronze,1,25.0,Groceries,2023-04-01,0.01,1.0,10,No,Signed up but didn't see much value.,-0.3,New Customer,1,2
5ae8363,40,Female,Tokyo,Gold,65,1800.9,Beauty,2024-03-12,0.09,14.5,75,Yes,High-quality beauty products I love.,0.88,Loyal,0,5
b995988,55,Male,Paris,Platinum,150,6800.0,Electronics,2024-03-11,0.11,22.1,95,Yes,Premium products and fantastic support.,0.98,Loyal,0,5
52cdf2b,33,Female,Sydney,Bronze,5,75.6,Home Goods,2023-09-01,0.02,2.8,18,No,Items were smaller than expected.,-0.15,Occasional Shopper,1,2
f6f1f4c,49,Male,Berlin,Silver,30,550.2,Sports,2024-01-25,0.06,9.5,50,Yes,Solid range for my needs.,0.65,Occasional Shopper,0,4
60d0f40,24,Other,Toronto,Bronze,0,0.0,,2022-08-15,0.01,0.2,2,No,Never used the site after signing up.,-0.5,Disengaged,1,3
6d1f403,38,Female,Mumbai,Gold,88,2500.1,Books,2024-03-15,0.1,17.0,82,Yes,Endless selection and great deals.,0.92,Loyal,0,5
0672db3,58,Male,New York,Silver,10,180.0,Groceries,2023-06-01,0.03,3.5,25,No,Prices weren't competitive for groceries.,-0.25,Bargain Hunter,1,2
d5a6001,30,Female,London,Bronze,2,30.5,Clothing,2023-03-20,0.01,0.8,8,No,Poor fit on the item I ordered.,-0.6,Disengaged,1,2
d348233,43,Male,Tokyo,Platinum,190,8000.0,Beauty,2024-03-16,0.13,28.0,99,Yes,Unparalleled luxury and service.,0.99,Loyal,0,5
